user_id,amount,timestamp
26,373.51,2024-11-17 03:08:22
451,317.26,2025-01-15 23:52:24
442,315.78,2024-10-23 06:00:18
168,27.03,2025-02-21 10:37:34
265,147.8,2025-07-03 21:59:34
205,455.68,2025-03-07 20:19:14
299,11.84,2024-11-10 20:41:16
274,343.97,2024-11-18 19:07:43
144,453.5,2025-09-07 06:16:18
113,15.67,2025-08-28 07:25:12
363,304.75,2025-02-22 20:00:39
321,49.35,2025-03-05 21:12:30
277,323.61,2025-10-18 18:09:56
292,280.74,2025-05-21 12:57:59
61,332.33,2025-01-25 02:44:19
295,80.23,2024-11-12 08:50:05
125,392.88,2025-02-02 18:52:42
254,343.49,2025-05-26 21:12:43
161,227.6,2025-08-03 06:30:49
162,415.9,2025-09-27 20:52:28
13,72.86,2025-06-26 04:51:18
500,12.1,2025-09-16 22:51:41
421,73.04,2025-03-16 13:19:48
495,441.27,2025-01-07 23:42:25
277,366.85,2025-03-22 11:49:47
40,177.23,2025-06-30 06:01:55
434,64.13,2025-02-25 05:25:45
488,58.46,2025-08-11 16:59:43
100,234.73,2024-11-18 22:35:15
417,233.71,2025-08-30 05:44:17
272,84.69,2025-06-17 18:40:01
321,322.29,2025-08-22 06:09:46
229,328.57,2025-08-24 21:00:11
146,227.54,2025-01-16 11:08:24
393,326.68,2024-10-25 17:13:40
54,158.15,2025-09-17 01:45:19
301,107.31,2025-01-08 15:09:32
1,289.56,2025-10-19 00:55:59
110,122.55,2025-07-25 07:55:13
321,433.38,2025-04-23 01:08:00
391,378.75,2025-01-08 08:10:13
355,147.93,2025-01-19 19:00:35
194,106.17,2025-08-16 22:57:44
56,154.8,2024-12-16 09:19:54
200,96.21,2025-02-08 11:08:32
396,463.68,2024-12-17 20:50:15
256,115.11,2025-01-27 15:45:29
171,432.09,2024-11-11 07:27:35
19,139.96,2025-05-22 13:43:08
332,306.24,2025-08-08 11:40:13
114,313.72,2025-06-06 11:49:44
385,45.03,2025-06-04 00:20:03
30,341.86,2025-04-23 12:32:17
372,32.6,2025-03-15 05:33:36
460,166.77,2025-07-20 01:57:03
331,100.96,2025-03-08 06:16:32
360,108.7,2025-02-09 02:41:31
402,473.16,2025-05-01 09:46:33
112,459.43,2025-02-11 11:01:37
67,387.68,2025-05-26 21:17:22
454,69.29,2025-05-13 03:27:01
354,97.93,2025-06-14 08:44:29
17,8.61,2025-06-09 19:31:41
335,244.17,2025-08-28 20:05:22
183,390.66,2025-03-18 16:29:11
160,188.01,2025-09-12 18:14:32
85,326.52,2025-01-18 03:01:14
19,128.31,2024-12-01 11:49:01
329,472.82,2025-08-15 00:04:49
270,347.14,2024-11-07 13:06:47
177,173.61,2025-04-25 10:42:34
204,450.63,2025-04-03 12:41:30
236,494.67,2025-07-24 22:19:27
316,58.77,2025-07-05 12:13:30
433,137.17,2025-09-22 03:38:31
10,223.77,2025-02-28 10:16:54
194,117.22,2025-10-14 19:48:08
139,232.05,2025-09-06 14:25:08
443,491.75,2025-03-02 16:24:31
368,201.17,2025-09-09 19:39:45
69,469.94,2025-08-21 16:21:09
4,249.99,2025-07-18 20:12:54
68,349.45,2025-07-13 01:31:04
100,148.26,2025-05-28 15:11:12
144,285.43,2025-06-02 21:45:57
352,356.7,2024-11-10 00:06:12
134,495.44,2024-11-02 23:30:39
339,479.43,2024-12-03 07:30:05
266,221.66,2024-10-30 09:50:15
353,174.76,2025-05-02 09:33:11
434,423.32,2025-06-07 13:01:34
22,141.64,2025-03-21 10:02:11
276,248.28,2025-02-13 20:50:31
197,200.03,2025-02-03 19:52:50
493,189.95,2024-12-29 23:48:25
370,445.56,2024-12-12 22:11:49
209,109.03,2025-06-01 09:27:24
79,277.77,2025-10-10 02:59:29
388,53.06,2025-05-20 23:34:32
431,292.97,2024-12-21 17:52:33
490,378.22,2025-09-20 05:30:32
97,262.65,2025-01-11 08:24:08
70,134.29,2025-07-13 15:31:41
231,311.81,2024-11-30 19:14:16
133,116.65,2025-08-28 23:36:38
412,339.98,2025-06-15 08:55:54
421,118.83,2024-12-25 10:58:52
